Help	0.000	0.000
Panther	1.920	2.946
Hang	3.973	5.000
on	6.026	7.053
Oh	8.080	8.480
this	8.480	8.640
is	8.640	8.720
gonna	8.720	8.880
be	8.880	9.040
good	9.040	9.360
I	9.760	9.840
wish	9.840	10.000
I	10.000	10.080
had	10.080	10.160
some	10.160	10.240
popcorn	10.240	10.720
Hey	10.960	11.920
Intruder	13.920	14.400
intruder	14.720	14.720
lockdown	15.600	16.160
initiated	16.160	16.640
Wendy	16.880	17.120
Target	17.360	17.600
lock	17.600	17.600
intercept	18.960	18.960
intruder	18.960	22.400
What's	22.400	22.400
this	22.400	22.400
I	22.400	22.400
don't	22.400	22.400
know	22.400	22.400
Check	22.400	22.400
it	22.400	22.400
out	22.400	22.400
Come	22.400	22.400
on	22.400	22.400
who	22.400	22.400
hit	22.400	22.400
me	22.400	22.400
Halt	22.400	22.400
intruder	22.400	22.400
Halt	22.400	22.400
intruder	22.400	22.400
Surrender	22.491	22.582
now	22.674	22.765
or	22.857	22.948
be	23.040	23.040
subdued	39.200	39.533
Wait	39.866	40.200
I	40.533	40.866
recognize	41.200	41.760
that	41.760	41.920
dimwit's	41.920	42.240
snarl	42.320	42.800
Panther	42.880	43.280
you're	43.600	43.760
no	43.760	44.000
intruder	44.000	44.480
but	44.720	44.800
you're	44.880	44.960
not	44.960	45.120
supposed	45.120	45.520
to	45.520	45.600
be	45.600	45.600
out	45.600	45.760
of	45.760	45.840
your	45.920	46.000
Oh	46.080	46.240
no	49.520	49.520
Wait	49.920	49.920
Robo	49.920	49.920
Dodge	49.920	50.400
Now	50.400	50.560
listen	50.640	50.960
here	50.960	51.120
Uh	51.600	51.920
oh	51.920	51.920
Robo	54.240	54.240
block	54.240	54.400
Robo	54.400	54.400
headbox	54.662	54.925
Now	55.188	55.451
as	55.714	55.977
I	56.240	56.560
was	56.560	56.640
saying	60.160	60.160
Oh	60.240	61.200
boy	61.200	61.440
Robo	61.440	61.600
out	63.520	63.552
Please	63.584	63.616
stop	63.648	63.680
hitting	63.840	64.080
me	64.320	64.560
with	64.800	65.040
my	65.120	65.200
own	65.280	65.360
arm	65.440	65.440
Panther	65.840	66.160
don't	66.160	66.160
you	67.360	67.780
remember	68.200	68.620
your	69.040	69.200
purpose	69.200	69.200
You	69.760	69.760
mean	69.920	70.080
besides	70.080	70.640
kicking	70.640	70.880
your	70.880	70.960
shiny	70.960	71.280
butt	71.280	71.600
This	71.760	72.080
is	72.080	72.160
all	72.160	72.320
a	72.320	72.400
misunderstanding	72.400	73.360
I'm	73.440	73.760
Beastbot	73.760	74.320
head	74.400	74.640
of	74.640	74.720
lab	74.720	74.960
security	74.960	75.600
Sorry	75.680	75.920
about	75.920	76.160
the	76.160	76.240
arm	76.240	76.480
Keep	76.480	77.040
it	77.040	77.040
I	77.120	77.280
always	77.280	77.600
carry	77.760	78.080
a	78.080	78.160
spare	78.160	78.480
Something's	80.320	80.880
coming	80.960	81.200
Uh	81.360	81.920
oh	81.920	81.920
Oh	81.920	81.920
it's	83.200	85.280
banana	85.280	85.920
We	86.240	86.320
saved	86.320	86.480
Jimmy	86.560	86.800
or	86.800	86.880
what	86.880	87.120
Just	87.200	87.280
let	87.280	87.600
me	87.600	87.760
power	87.760	88.000
up	88.000	88.000
real	88.000	88.160
quick	88.160	88.320
Pandemonium	88.320	89.680
particles	89.760	90.240
Nope	90.640	90.640
Last	90.640	90.880
time	90.880	91.040
you	91.040	91.120
had	91.120	91.280
those	91.280	91.520
you	91.520	91.600
destroyed	91.600	92.080
half	92.080	92.400
the	92.400	92.480
lab	92.480	92.880
Now	92.960	93.120
what	93.120	93.200
do	93.360	93.440
you	93.440	93.520
mean	93.520	93.920
save	93.920	94.400
Jimmy	94.400	94.800
That's	94.880	95.120
what	95.120	95.200
I've	95.200	95.360
been	95.360	95.440
trying	95.440	95.760
to	95.760	95.760
tell	95.760	96.080
you	96.080	96.400
Some	96.480	96.720
kind	96.720	96.880
of	96.880	96.960
monsters	96.960	97.520
took	97.520	97.760
him	97.760	97.920
Oh	98.320	98.400
no	98.400	98.800
that	99.280	99.440
must	99.440	99.760
mean	99.760	100.080
the	100.480	100.480
lab's	100.640	100.960
been	101.040	101.200
infiltrated	101.200	101.920
by	101.920	102.080
the	102.080	102.160
Shroud	102.160	102.720
The	102.720	103.120
Shroud	103.120	103.680
Oh	103.760	104.160
that	104.400	104.480
upgrade	104.480	104.800
must	104.800	105.040
have	105.040	105.120
really	105.120	105.360
fried	105.360	105.600
the	105.600	105.680
big	105.680	105.840
guy's	105.840	106.080
memory	106.080	106.400
Probably	106.480	107.040
because	107.040	107.280
someone	107.280	107.840
released	107.840	108.320
him	108.320	108.480
before	108.480	108.800
it	108.800	108.880
